dt,future_dt,humidity,pop,pressure,temp_max,temp_min,uvi,weather_id,wind_speed,wind_gust,rain,snow
2026-03-26 10:37:53,2026-04-02 13:00:00,67,0,1025,11.76,6.13,1,804,5.6,11.82,0,0
2026-03-26 11:37:53,2026-03-26 12:00:00,78,0.79,1023,10.1,3.04,2.98,500,5.38,13.59,0.36,0
2026-03-26 11:37:53,2026-03-27 12:00:00,79,1,1019,10.5,2.55,2.38,500,7.25,13.15,2.31,0
2026-03-26 11:37:53,2026-03-28 12:00:00,59,1,1030,8.28,0.93,2.47,616,7.26,14.64,1.24,0.22
2026-03-26 11:37:53,2026-03-29 13:00:00,79,0.4,1027,9.96,2.78,1.07,500,8.65,17.3,0.71,0
2026-03-26 11:37:53,2026-03-30 13:00:00,80,0.29,1028,12.41,9.19,0.86,500,5.99,14.03,0.9,0
2026-03-26 11:37:53,2026-03-31 13:00:00,70,0,1031,15.21,7.82,1,804,6.78,12.48,0,0
2026-03-26 11:37:53,2026-04-01 13:00:00,70,0.24,1030,12.95,7.18,1,500,5.37,9.51,0.3,0
2026-03-26 11:37:53,2026-04-02 13:00:00,67,0,1025,11.76,6.13,1,804,5.6,11.82,0,0
2026-03-26 12:37:53,2026-03-26 12:00:00,74,0.79,1023,10.1,3.04,2.98,500,5.38,13.59,0.36,0
2026-03-26 12:37:53,2026-03-27 12:00:00,79,1,1019,10.5,2.55,2.38,500,7.25,13.15,2.31,0
2026-03-26 12:37:53,2026-03-28 12:00:00,59,1,1030,8.28,0.93,2.47,616,7.26,14.64,1.24,0.22
2026-03-26 12:37:53,2026-03-29 13:00:00,79,0.4,1027,9.96,2.78,1.07,500,8.65,17.3,0.71,0
2026-03-26 12:37:53,2026-03-30 13:00:00,80,0.29,1028,12.41,9.19,0.86,500,5.99,14.03,0.9,0
2026-03-26 12:37:53,2026-03-31 13:00:00,70,0,1031,15.21,7.82,1,804,6.78,12.48,0,0
2026-03-26 12:37:53,2026-04-01 13:00:00,70,0.24,1030,12.95,7.18,1,500,5.37,9.51,0.3,0
2026-03-26 12:37:53,2026-04-02 13:00:00,67,0,1025,11.76,6.13,1,804,5.6,11.82,0,0
2026-03-26 13:37:53,2026-03-26 12:00:00,72,0.79,1022,9.95,3.04,2.98,500,5.49,13.37,0.42,0
